team1,team2,venue,toss_winner,toss_decision,winner,date
Thailand,Cook Islands,Sano International Cricket Ground,Thailand,bat,Cook Islands,2025-05-07
Japan,Thailand,Sano International Cricket Ground,Japan,bat,Japan,2025-05-08
Malaysia,United Arab Emirates,"Asian Institute of Technology Ground, Bangkok",United Arab Emirates,field,United Arab Emirates,2025-05-09
Kuwait,Thailand,"Terdthai Cricket Ground, Bangkok",Thailand,field,Thailand,2025-05-09
Cook Islands,Thailand,Sano International Cricket Ground,Thailand,field,Thailand,2025-05-09
Japan,Cook Islands,Sano International Cricket Ground,Cook Islands,field,Japan,2025-05-09
United Arab Emirates,Qatar,"Terdthai Cricket Ground, Bangkok",United Arab Emirates,bat,United Arab Emirates,2025-05-10
Bahrain,Nepal,"Terdthai Cricket Ground, Bangkok",Nepal,field,Nepal,2025-05-10
Germany,Greece,"Marina Ground, Corfu",Greece,field,Germany,2025-05-10
Germany,Greece,"Marina Ground, Corfu",Germany,bat,Germany,2025-05-10
Japan,Thailand,Sano International Cricket Ground,Japan,bat,Thailand,2025-05-11
Greece,Germany,"Marina Ground, Corfu",Greece,bat,Germany,2025-05-11
Germany,Greece,"Marina Ground, Corfu",Germany,bat,Germany,2025-05-11
Kuwait,Bhutan,"Terdthai Cricket Ground, Bangkok",Bhutan,field,Kuwait,2025-05-12
Nepal,Hong Kong,"Asian Institute of Technology Ground, Bangkok",Hong Kong,field,Hong Kong,2025-05-13
Cook Islands,Japan,Sano International Cricket Ground,Cook Islands,bat,Japan,2025-05-13
Japan,Cook Islands,Sano International Cricket Ground,Cook Islands,field,Japan,2025-05-14
Bulgaria,Estonia,Estonian National Cricket and Rugby Field,Bulgaria,bat,Estonia,2025-05-15
Bahrain,Nepal,"Terdthai Cricket Ground, Bangkok",Bahrain,bat,Nepal,2025-05-15
Bulgaria,Estonia,Estonian National Cricket and Rugby Field,Estonia,field,Estonia,2025-05-15
Thailand,Bhutan,"Terdthai Cricket Ground, Bangkok",Bhutan,field,Thailand,2025-05-15
Kuwait,Bhutan,"Terdthai Cricket Ground, Bangkok",Bhutan,field,Bhutan,2025-05-16
Qatar,Malaysia,"Terdthai Cricket Ground, Bangkok",Malaysia,field,Malaysia,2025-05-16
Bangladesh,United Arab Emirates,Sharjah Cricket Stadium,United Arab Emirates,field,Bangladesh,2025-05-17
Austria,Slovenia,"Velden Cricket Ground, Latschach",Slovenia,field,Austria,2025-05-17
Austria,Slovenia,"Ballpark Ground, Graz",Austria,bat,Austria,2025-05-18
Slovenia,Austria,"Ballpark Ground, Graz",Slovenia,bat,Austria,2025-05-18
Thailand,United Arab Emirates,"Terdthai Cricket Ground, Bangkok",Thailand,bat,Thailand,2025-05-18
United Arab Emirates,Nepal,"Terdthai Cricket Ground, Bangkok",Nepal,field,Nepal,2025-05-19
Bangladesh,United Arab Emirates,Sharjah Cricket Stadium,United Arab Emirates,field,United Arab Emirates,2025-05-19
Thailand,Nepal,"Terdthai Cricket Ground, Bangkok",Nepal,field,Thailand,2025-05-20
West Indies,England,"St Lawrence Ground, Canterbury",England,field,England,2025-05-21
Bangladesh,United Arab Emirates,Sharjah Cricket Stadium,United Arab Emirates,field,United Arab Emirates,2025-05-21
West Indies,England,"County Ground, Hove",England,field,England,2025-05-23
Jersey,Italy,Roma Cricket Ground,Italy,field,Italy,2025-05-25
Sweden,Spain,"Simar Cricket Ground, Rome",Sweden,bat,Sweden,2025-05-25
Isle of Man,Italy,Roma Cricket Ground,Isle of Man,bat,Italy,2025-05-25
Germany,Spain,"Simar Cricket Ground, Rome",Spain,field,Germany,2025-05-25
Germany,Jersey,Roma Cricket Ground,Germany,bat,Germany,2025-05-26
Sweden,Isle of Man,"Simar Cricket Ground, Rome",Sweden,bat,Isle of Man,2025-05-26
England,West Indies,"County Ground, Chelmsford",West Indies,field,England,2025-05-26
Spain,Jersey,Roma Cricket Ground,Jersey,field,Jersey,2025-05-26
Sweden,Italy,"Simar Cricket Ground, Rome",Sweden,bat,Italy,2025-05-26
Belgium,Switzerland,"Stars Arena Hofstade, Zemst",Belgium,bat,Switzerland,2025-05-28
Belgium,Switzerland,"Stars Arena Hofstade, Zemst",Belgium,bat,Switzerland,2025-05-28
Isle of Man,Spain,"Simar Cricket Ground, Rome",Isle of Man,bat,Spain,2025-05-28
Italy,Germany,Roma Cricket Ground,Germany,field,Italy,2025-05-28
Pakistan,Bangladesh,"Gaddafi Stadium, Lahore",Pakistan,bat,Pakistan,2025-05-28
Germany,Sweden,Roma Cricket Ground,Germany,bat,Germany,2025-05-28
Jersey,Isle of Man,"Simar Cricket Ground, Rome",Isle of Man,field,Jersey,2025-05-28
Isle of Man,Germany,Roma Cricket Ground,Germany,field,Germany,2025-05-29
Italy,Spain,Roma Cricket Ground,Italy,bat,Italy,2025-05-29
Belgium,Switzerland,"Stars Arena Hofstade, Zemst",Switzerland,field,Switzerland,2025-05-29
Switzerland,Belgium,"Stars Arena Hofstade, Zemst",Belgium,field,Switzerland,2025-05-29
Sweden,Jersey,"Simar Cricket Ground, Rome",Sweden,bat,Sweden,2025-05-29
Malta,Belgium,"Stars Arena Hofstade, Zemst",Malta,bat,Belgium,2025-05-30
Malta,Portugal,"Stars Arena Hofstade, Zemst",Portugal,field,Portugal,2025-05-30
Belgium,Portugal,"Stars Arena Hofstade, Zemst",Belgium,bat,Portugal,2025-05-30
Austria,Switzerland,"Velden Cricket Ground, Latschach",Austria,bat,Austria,2025-05-30
Pakistan,Bangladesh,"Gaddafi Stadium, Lahore",Pakistan,bat,Pakistan,2025-05-30
Austria,Switzerland,"Velden Cricket Ground, Latschach",Austria,bat,Switzerland,2025-05-31
Malta,Portugal,"Stars Arena Hofstade, Zemst",Malta,bat,Portugal,2025-05-31
Austria,Switzerland,"Velden Cricket Ground, Latschach",Switzerland,field,Austria,2025-05-31
Belgium,Malta,"Stars Arena Hofstade, Zemst",Malta,field,Belgium,2025-05-31
Belgium,Portugal,"Stars Arena Hofstade, Zemst",Belgium,bat,Portugal,2025-05-31
Belgium,Portugal,"Stars Arena Hofstade, Zemst",Portugal,field,Belgium,2025-06-01
Bangladesh,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,field,Pakistan,2025-06-01
Austria,Switzerland,"Velden Cricket Ground, Latschach",Austria,bat,Austria,2025-06-01
Rwanda,Cameroon,"Gahanga International Cricket Stadium, Rwanda",Cameroon,field,Rwanda,2025-06-03
Malawi,Brazil,"Gahanga B Ground, Rwanda",Brazil,field,Brazil,2025-06-03
Tanzania,Sierra Leone,"Gahanga International Cricket Stadium, Rwanda",Tanzania,bat,Tanzania,2025-06-03
Philippines,China,Sano International Cricket Ground,China,field,China,2025-06-04
Cameroon,Uganda,"Gahanga B Ground, Rwanda",Uganda,field,Uganda,2025-06-04
Rwanda,Sierra Leone,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,Rwanda,2025-06-04
Tanzania,Malawi,"Gahanga B Ground, Rwanda",Tanzania,bat,Tanzania,2025-06-04
Nigeria,Brazil,"Gahanga International Cricket Stadium, Rwanda",Brazil,field,Brazil,2025-06-04
Hong Kong,Japan,Sano International Cricket Ground,Japan,field,Hong Kong,2025-06-04
Cameroon,Sierra Leone,"Gahanga B Ground, Rwanda",Sierra Leone,field,Cameroon,2025-06-05
Rwanda,Malawi,"Gahanga International Cricket Stadium, Rwanda",Malawi,field,Rwanda,2025-06-05
Tanzania,Nigeria,"Gahanga B Ground, Rwanda",Tanzania,bat,Nigeria,2025-06-05
Mongolia,China,Sano International Cricket Ground,Mongolia,bat,China,2025-06-05
Japan,China,Sano International Cricket Ground,Japan,bat,Japan,2025-06-06
England,West Indies,"Riverside Ground, Chester-le-Street",England,bat,England,2025-06-06
Philippines,Mongolia,Sano International Cricket Ground,Mongolia,field,Philippines,2025-06-06
Jersey,Guernsey,"Grainville, St Saviour",Guernsey,field,Guernsey,2025-06-06
Cameroon,Malawi,"Gahanga International Cricket Stadium, Rwanda",Malawi,field,Malawi,2025-06-06
Rwanda,Nigeria,"Gahanga B Ground, Rwanda",Rwanda,bat,Rwanda,2025-06-06
Sierra Leone,Uganda,"Gahanga B Ground, Rwanda",Uganda,field,Uganda,2025-06-06
Nigeria,Cameroon,"Gahanga B Ground, Rwanda",Nigeria,bat,Nigeria,2025-06-07
Malawi,Sierra Leone,"Gahanga B Ground, Rwanda",Sierra Leone,field,Sierra Leone,2025-06-07
Japan,Philippines,Sano International Cricket Ground,Philippines,field,Japan,2025-06-07
Mongolia,Hong Kong,Sano International Cricket Ground,Mongolia,bat,Hong Kong,2025-06-07
Brazil,Uganda,"Gahanga International Cricket Stadium, Rwanda",Uganda,field,Uganda,2025-06-07
Jersey,Guernsey,"Grainville, St Saviour",Jersey,bat,Jersey,2025-06-07
Guernsey,Jersey,"Grainville, St Saviour",Jersey,field,Jersey,2025-06-07
Slovenia,Serbia,Lisicji Jarak Cricket Ground,Slovenia,bat,Serbia,2025-06-07
Serbia,Slovenia,Lisicji Jarak Cricket Ground,Slovenia,field,Serbia,2025-06-08
West Indies,England,"County Ground, Bristol",England,field,England,2025-06-08
Japan,Hong Kong,Sano International Cricket Ground,Hong Kong,field,Japan,2025-06-08
Philippines,China,Sano International Cricket Ground,Philippines,bat,China,2025-06-08
Mongolia,Philippines,Sano International Cricket Ground 2,Mongolia,bat,Philippines,2025-06-08
Nigeria,Sierra Leone,"Gahanga International Cricket Stadium, Rwanda",Nigeria,bat,Nigeria,2025-06-08
Uganda,Malawi,"Gahanga International Cricket Stadium, Rwanda",Malawi,field,Uganda,2025-06-08
Norway,Czech Republic,"Scott Page Field, Vinor",Norway,bat,Norway,2025-06-08
Czech Republic,Austria,"Scott Page Field, Vinor",Austria,field,Austria,2025-06-08
Brazil,Tanzania,"Gahanga B Ground, Rwanda",Tanzania,field,Tanzania,2025-06-08
Netherlands,United States of America,"Sportpark Maarschalkerweerd, Utrecht",United States of America,field,Netherlands,2025-06-09
Austria,Czech Republic,"Scott Page Field, Vinor",Austria,bat,Austria,2025-06-09
Norway,Austria,"Scott Page Field, Vinor",Norway,bat,Norway,2025-06-09
Uganda,Tanzania,"Gahanga International Cricket Stadium, Rwanda",Tanzania,field,Uganda,2025-06-10
Rwanda,Brazil,"Gahanga B Ground, Rwanda",Brazil,field,Rwanda,2025-06-10
Norway,Austria,"Scott Page Field, Vinor",Norway,bat,Austria,2025-06-10
Norway,Czech Republic,"Scott Page Field, Vinor",Czech Republic,field,Norway,2025-06-10
England,West Indies,"The Rose Bowl, Southampton",West Indies,field,England,2025-06-10
Nigeria,Uganda,"Gahanga International Cricket Stadium, Rwanda",Uganda,field,Nigeria,2025-06-11
Rwanda,Tanzania,"Gahanga B Ground, Rwanda",Rwanda,bat,Tanzania,2025-06-11
Brazil,Cameroon,"Gahanga International Cricket Stadium, Rwanda",Cameroon,field,Brazil,2025-06-11
Netherlands,United States of America,"Sportpark Maarschalkerweerd, Utrecht",United States of America,field,Netherlands,2025-06-11
Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,Cambodia,2025-06-11
Bermuda,Cayman Islands,"Maple Leaf North-East Ground, King City",Bermuda,bat,Bermuda,2025-06-12
Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,Cambodia,2025-06-12
Austria,Gibraltar,"Scott Page Field, Vinor",Austria,bat,Austria,2025-06-12
Uganda,Rwanda,"Gahanga B Ground, Rwanda",Rwanda,field,Rwanda,2025-06-12
Netherlands,United States of America,"Sportpark Maarschalkerweerd, Utrecht",United States of America,field,Netherlands,2025-06-12
Sierra Leone,Brazil,"Gahanga B Ground, Rwanda",Sierra Leone,bat,Brazil,2025-06-12
Indonesia,Cambodia,Udayana Cricket Ground,Indonesia,bat,Cambodia,2025-06-12
Canada,Bahamas,"Maple Leaf North-East Ground, King City",Canada,bat,Canada,2025-06-12
Tanzania,Cameroon,"Gahanga International Cricket Stadium, Rwanda",Tanzania,bat,Tanzania,2025-06-12
Bermuda,Bahamas,"Maple Leaf North-East Ground, King City",Bermuda,bat,Bermuda,2025-06-13
Netherlands,United States of America,"Sportpark Maarschalkerweerd, Utrecht",Netherlands,bat,Netherlands,2025-06-13
Denmark,Finland,"Ishoj Cricket Club, Vejledalen",Finland,field,Denmark,2025-06-13
Canada,Cayman Islands,"Maple Leaf North-East Ground, King City",Canada,bat,Canada,2025-06-13
Tanzania,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,Tanzania,2025-06-13
Czech Republic,Austria,"Scott Page Field, Vinor",Czech Republic,bat,Austria,2025-06-13
Gibraltar,Czech Republic,"Scott Page Field, Vinor",Czech Republic,field,Gibraltar,2025-06-13
Sweden,Finland,"Ishoj Cricket Club, Vejledalen",Finland,field,Sweden,2025-06-14
Finland,Norway,"Ishoj Cricket Club, Vejledalen",Finland,bat,Finland,2025-06-14
Cambodia,Indonesia,Udayana Cricket Ground,Indonesia,field,Indonesia,2025-06-14
Denmark,Sweden,Koge Cricket Club,Denmark,bat,Denmark,2025-06-14
Uganda,Rwanda,"Gahanga B Ground, Rwanda",Rwanda,field,Uganda,2025-06-14
Denmark,Norway,Koge Cricket Club,Denmark,bat,Norway,2025-06-14
Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,Cambodia,2025-06-15
Cayman Islands,Bahamas,"Maple Leaf North-West Ground, King City",Bahamas,field,Cayman Islands,2025-06-15
West Indies,Ireland,"Bready Cricket Club, Magheramason, Bready",Ireland,field,West Indies,2025-06-15
Scotland,Netherlands,"Titwood, Glasgow",Netherlands,field,Scotland,2025-06-15
Finland,Norway,"Ishoj Cricket Club, Vejledalen",Finland,bat,Finland,2025-06-15
Indonesia,Cambodia,Udayana Cricket Ground,Indonesia,bat,Cambodia,2025-06-15
Sweden,Norway,"Ishoj Cricket Club, Vejledalen",Sweden,bat,Norway,2025-06-15
Canada,Bermuda,"Maple Leaf North-West Ground, King City",Bermuda,field,Canada,2025-06-15
Cambodia,Indonesia,Udayana Cricket Ground,Indonesia,field,Indonesia,2025-06-16
Papua New Guinea,Vanuatu,"Amini Park, Port Moresby",Papua New Guinea,bat,Papua New Guinea,2025-06-16
Bahamas,Bermuda,"Maple Leaf North-West Ground, King City",Bahamas,bat,Bermuda,2025-06-16
Canada,Cayman Islands,"Maple Leaf North-West Ground, King City",Cayman Islands,field,Canada,2025-06-16
Scotland,Nepal,"Titwood, Glasgow",Nepal,field,Nepal,2025-06-17
Samoa,Papua New Guinea,"Amini Park, Port Moresby",Samoa,bat,Papua New Guinea,2025-06-17
Cayman Islands,Bermuda,"Maple Leaf North-West Ground, King City",Bermuda,field,Bermuda,2025-06-18
Bahamas,Canada,"Maple Leaf North-West Ground, King City",Canada,field,Canada,2025-06-18
Netherlands,Scotland,"Titwood, Glasgow",Scotland,field,Netherlands,2025-06-18
Netherlands,Nepal,"Titwood, Glasgow",Nepal,field,Nepal,2025-06-19
Vanuatu,Samoa,"Amini Park, Port Moresby",Vanuatu,bat,Vanuatu,2025-06-19
Bermuda,Bahamas,"Maple Leaf North-West Ground, King City",Bahamas,field,Bermuda,2025-06-19
Canada,Cayman Islands,"Maple Leaf North-West Ground, King City",Cayman Islands,field,Canada,2025-06-19
Scotland,Nepal,"Titwood, Glasgow",Scotland,bat,Scotland,2025-06-20
South Africa,West Indies,"Three Ws Oval, Cave Hill, Barbados",West Indies,field,South Africa,2025-06-20
Papua New Guinea,Vanuatu,"Amini Park, Port Moresby",Papua New Guinea,bat,Papua New Guinea,2025-06-20
Hungary,Slovenia,"GB Oval, Szodliget",Hungary,bat,Hungary,2025-06-21
Switzerland,Luxembourg,Pierre Werner Cricket Ground,Luxembourg,field,Switzerland,2025-06-21
Switzerland,Luxembourg,Pierre Werner Cricket Ground,Switzerland,bat,Switzerland,2025-06-21
Bahamas,Canada,"Maple Leaf North-West Ground, King City",Canada,field,Canada,2025-06-21
Bermuda,Cayman Islands,"Maple Leaf North-West Ground, King City",Cayman Islands,field,Cayman Islands,2025-06-21
Papua New Guinea,Samoa,"Amini Park, Port Moresby",Papua New Guinea,bat,Papua New Guinea,2025-06-21
Hungary,Slovenia,"GB Oval, Szodliget",Hungary,bat,Hungary,2025-06-21
South Africa,West Indies,"Three Ws Oval, Cave Hill, Barbados",West Indies,field,West Indies,2025-06-22
Slovenia,Hungary,"GB Oval, Szodliget",Slovenia,bat,Hungary,2025-06-22
Cayman Islands,Bahamas,"Maple Leaf North-West Ground, King City",Bahamas,field,Cayman Islands,2025-06-22
Switzerland,Luxembourg,Pierre Werner Cricket Ground,Switzerland,bat,Luxembourg,2025-06-22
South Africa,West Indies,"Three Ws Oval, Cave Hill, Barbados",South Africa,bat,West Indies,2025-06-23
Belgium,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,field,Belgium,2025-06-26
France,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",France,bat,Malta,2025-06-26
Belgium,France,"Moara Vlasiei Cricket Ground, Ilfov County",Belgium,bat,Belgium,2025-06-27
Hungary,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,Romania,2025-06-27
Hungary,Austria,"Moara Vlasiei Cricket Ground, Ilfov County",Austria,field,Austria,2025-06-27
India,England,"Trent Bridge, Nottingham",England,field,India,2025-06-28
Belgium,Austria,"Moara Vlasiei Cricket Ground, Ilfov County",Austria,field,Austria,2025-06-28
Malta,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,Malta,2025-06-28
Hungary,France,"Moara Vlasiei Cricket Ground, Ilfov County",France,field,Hungary,2025-06-29
India,England,"County Ground, Bristol",England,field,India,2025-07-01
Singapore,Indonesia,Singapore National Cricket Ground,Singapore,bat,Indonesia,2025-07-03
England,India,"Kennington Oval, London",England,bat,England,2025-07-04
Guernsey,Italy,"Sportpark Westvliet, Voorburg",Italy,field,Italy,2025-07-05
Indonesia,Singapore,Singapore National Cricket Ground,Indonesia,bat,Indonesia,2025-07-05
Jersey,Netherlands,"Sportpark Westvliet, Voorburg",Netherlands,field,Netherlands,2025-07-05
Malawi,Germany,"TCA Oval, Blantyre",Germany,field,Germany,2025-07-05
Philippines,Indonesia,Udayana Cricket Ground,Indonesia,field,Philippines,2025-07-06
Bahrain,Germany,"TCA Oval, Blantyre",Bahrain,bat,Bahrain,2025-07-06
Tanzania,Germany,"TCA Oval, Blantyre",Tanzania,bat,Germany,2025-07-07
Bulgaria,Serbia,"Vassil Levski National Sports Academy, Sofia",Serbia,field,Serbia,2025-07-07
Indonesia,Philippines,Udayana Cricket Ground,Philippines,field,Indonesia,2025-07-07
Turkey,Serbia,"Vassil Levski National Sports Academy, Sofia",Turkey,bat,Turkey,2025-07-07
Turkey,Greece,"Vassil Levski National Sports Academy, Sofia",Turkey,bat,Turkey,2025-07-07
South Korea,Philippines,Udayana Cricket Ground,Philippines,field,Philippines,2025-07-07
Malawi,Bahrain,"TCA Oval, Blantyre",Malawi,bat,Bahrain,2025-07-07
Greece,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,Greece,2025-07-08
Scotland,Netherlands,"Sportpark Westvliet, Voorburg",Scotland,bat,Scotland,2025-07-08
Serbia,Greece,"Vassil Levski National Sports Academy, Sofia",Serbia,bat,Greece,2025-07-08
Jersey,Guernsey,"Sportpark Westvliet, Voorburg",Guernsey,field,Jersey,2025-07-08
Turkey,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Turkey,bat,Turkey,2025-07-08
Bahrain,Tanzania,"TCA Oval, Blantyre",Tanzania,field,Tanzania,2025-07-08
Indonesia,South Korea,Udayana Cricket Ground,South Korea,field,Indonesia,2025-07-08
England,India,"Old Trafford, Manchester",England,bat,India,2025-07-09
Netherlands,Guernsey,"Sportpark Westvliet, Voorburg",Netherlands,bat,Netherlands,2025-07-09
Bulgaria,Serbia,"Vassil Levski National Sports Academy, Sofia",Serbia,field,Serbia,2025-07-09
Turkey,Greece,"Vassil Levski National Sports Academy, Sofia",Turkey,bat,Turkey,2025-07-09
South Korea,Philippines,Udayana Cricket Ground,Philippines,field,South Korea,2025-07-09
South Korea,Indonesia,Udayana Cricket Ground,South Korea,bat,Indonesia,2025-07-09
Italy,Scotland,"Sportpark Westvliet, Voorburg",Italy,bat,Italy,2025-07-09
Malawi,Germany,"TCA Oval, Blantyre",Malawi,bat,Malawi,2025-07-10
Bangladesh,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,field,Sri Lanka,2025-07-10
Turkey,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,Bulgaria,2025-07-10
Tanzania,Bahrain,"TCA Oval, Blantyre",Bahrain,field,Bahrain,2025-07-10
Indonesia,Philippines,Udayana Cricket Ground,Indonesia,bat,Philippines,2025-07-10
Bulgaria,Gibraltar,"Vassil Levski National Sports Academy, Sofia",Gibraltar,field,Gibraltar,2025-07-10
Philippines,South Korea,Udayana Cricket Ground,Philippines,bat,Philippines,2025-07-10
Turkey,Gibraltar,"Vassil Levski National Sports Academy, Sofia",Gibraltar,field,Gibraltar,2025-07-11
Scotland,Jersey,"Sportpark Westvliet, Voorburg",Jersey,field,Jersey,2025-07-11
Italy,Netherlands,"Sportpark Westvliet, Voorburg",Italy,bat,Netherlands,2025-07-11
Gibraltar,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,Bulgaria,2025-07-11
Philippines,South Korea,Udayana Cricket Ground,Philippines,bat,Philippines,2025-07-12
Turkey,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,Turkey,2025-07-12
Malawi,Bahrain,"TCA Oval, Blantyre",Malawi,bat,Bahrain,2025-07-12
India,England,"Edgbaston, Birmingham",England,field,England,2025-07-12
Germany,Tanzania,"TCA Oval, Blantyre",Tanzania,field,Tanzania,2025-07-12
Turkey,Gibraltar,"Vassil Levski National Sports Academy, Sofia",Turkey,bat,Gibraltar,2025-07-12
Indonesia,South Korea,Udayana Cricket Ground,South Korea,field,South Korea,2025-07-12
South Korea,Indonesia,Udayana Cricket Ground,South Korea,bat,Indonesia,2025-07-13
Bahrain,Tanzania,"TCA Oval, Blantyre",Tanzania,field,Tanzania,2025-07-13
